"Data Source","Jobs",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.2","0.3","0.3","0.4","0.4","0.5","0.6","0.7","0.8","0.9","1","1.1","1.2","1.3","1.3","1.4","1.5","1.6","1.6","1.7","1.8","1.8","1.8","1.9","1.9","1.9","1.9",
"Albania","ALB","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1",
"Andorra","AND","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.102579829872699","0.10462807431678","0.105073319376324","0.107113856612632","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4",
"Armenia","ARM","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2",
"American Samoa","ASM","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1",
"Austria","AUT","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1",
"Azerbaijan","AZE","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1",
"Burundi","BDI","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","2.2","2.6","3","3.3","3.6","3.8","3.9","4","3.9","3.7","3.5","3.3","3","2.8","2.5","2.3","2","1.9","1.7","1.6","1.5","1.4","1.3","1.2","1.2","1.1","1.1",
"Belgium","BEL","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.2","0.3","0.4","0.6","0.7","0.9","1.1","1.2","1.3","1.4","1.4","1.4","1.4","1.4","1.4","1.3","1.3","1.2","1.1","1.1","1.1","1.1","1.1","1.1","1.1","1","1",
"Burkina Faso","BFA","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","3.5","3.7","3.8","3.8","3.8","3.7","3.5","3.3","3","2.8","2.5","2.3","2.1","1.8","1.6","1.5","1.4","1.2","1.2","1.1","1","1","0.9","0.9","0.9","0.8","0.8",
"Bangladesh","BGD","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1",
"Bulgaria","BGR","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1",
"Bahrain","BHR","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1",
"Bahamas, The","BHS","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","2.2","2.3","2.5","2.6","2.7","2.8","2.9","2.9","2.9","2.9","2.9","2.8","2.7","2.7","2.6","2.6","2.6","2.5","2.5","2.4","2.4","2.3","2.3","2.2","2.1","2","2",
"Bosnia and Herzegovina","BIH","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.3","0.3","0.4","0.4",
"Belize","BLZ","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.1","0.2","0.3","0.4","0.6","0.7","0.8","0.9","1","1","1.1","1.2","1.2","1.3","1.4","1.4","1.5","1.5","1.6","1.6","1.7","1.7","1.8","1.8","1.8","1.9",
"Bermuda","BMU","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3",
"Brazil","BRA","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.6","0.6","0.6","0.6",
"Barbados","BRB","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.3","0.3","0.4","0.5","0.5","0.6","0.7","0.8","0.9","1","1.1","1.2","1.3","1.3","1.4","1.5","1.5","1.5","1.6",
"Brunei Darussalam","BRN","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","6.1","8.6","11.4","14.5","17.5","20.3","22.7","24.6","26","26.7","27","26.8","26.3","25.6","25","24.5","24.1","23.8","23.6","23.4","23.2","23.1","23.1","23.1","23.1","23.1","23",
"Central African Republic","CAF","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","3.5","4.6","5.8","6.9","8","8.8","9.5","9.8","9.9","9.7","9.3","8.7","8.2","7.6","7","6.5","6","5.6","5.3","5.1","4.9","4.8","4.6","4.5","4.3","4.2","4.1",
"Canada","CAN","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.5","0.5","0.5",
"China","CHN","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","4.1","5","5.9","6.7","7.3","7.9","8.2","8.3","8.3","8","7.7","7.2","6.7","6.1","5.6","5.1","4.7","4.4","4.1","3.9","3.6","3.5","3.3","3.2","3","2.9","2.8",
"Cameroon","CMR","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.9","1.2","1.5","1.9","2.3","2.8","3.2","3.6","4","4.4","4.6","4.8","5","5.1","5.1","5.1","5","4.9","4.8","4.7","4.6","4.5","4.4","4.2","4.1","3.9","3.8",
"Congo, Dem. Rep.","COD","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","1.6","1.8","1.8","1.9","2","2.1","2.1","2.1","2.2","2.1","2.1","2.1","2","1.9","1.8","1.7","1.6","1.5","1.4","1.3","1.2","1.1","1","0.9","0.9","0.8","0.7",
"Congo, Rep.","COG","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","3.2","3.7","4.2","4.5","4.7","4.8","4.8","4.8","4.6","4.5","4.3","4.1","3.9","3.8","3.6","3.5","3.4","3.3","3.3","3.2","3.2","3.2","3.2","3.2","3.2","3.2","3.2",
"Colombia","COL","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.2","0.3","0.4","0.4","0.5","0.5","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5",
"Comoros","COM","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1",
"Cabo Verde","CPV","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.4","0.5","0.5","0.6","0.7","0.7","0.8","0.8","0.8","0.9","0.9","0.9","0.9","0.9","0.9","0.8","0.8","0.8","0.7","0.7","0.7","0.7","0.7","0.6","0.6","0.6","0.6",
"Costa Rica","CRI","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.4","0.4",
"Cuba","CUB","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.4","0.4","0.4",
"Curacao","CUW","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1",
"Czech Republic","CZE","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1",
"Germany","DEU","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2",
"Djibouti","DJI","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.3","0.4","0.6","0.9","1.2","1.6","1.9","2.2","2.5","2.7","2.8","2.8","2.8","2.6","2.5","2.3","2.2","2","1.9","1.7","1.6","1.5","1.5","1.4","1.4","1.3",
"Dominica","DMA","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.1","0.1",
"Dominican Republic","DOM","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.5","0.6","0.8","0.9","1.1","1.2","1.4","1.5","1.7","1.8","1.9","1.9","1.9","1.9","1.9","1.8","1.7","1.6","1.5","1.4","1.3","1.3","1.2","1.1","1","1","1",
"Algeria","DZA","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1",
"East Asia & Pacific (excluding high income)","EAP","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.1","0.1","0.1","0.115739295772618","0.131289189832403","0.146524026067272","0.16160624247495","0.176554879031413","0.191253354918196","0.205504552493309","0.204604008278787","0.273061690360796","0.27409526990435","0.334043679224436","0.332815065095981","0.380111754657224","0.381615984227101","0.426247063760748","0.42580245403565","0.458125972622141","0.501929555479809","0.501678931495681","0.54764918928317","0.59573805624539","0.640039805613236","0.684328825599761",
"Europe & Central Asia","ECS","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.113818497154003","0.113899308719054","0.138326204471933","0.139844607220612","0.147583845552291","0.156814119245906","0.164385577874798","0.171937665599355","0.18998437880283","0.197573337131818","0.21310369228054","0.212959572993904","0.249317864770909","0.251047345852702","0.29276503866741","0.292361027874076","0.316262699660371","0.317110874895676","0.339769553488671","0.339711432954625","0.356831436008178","0.379436493195032","0.389910357078209","0.412873119272525","0.428567834087343","0.461330697682685","0.484025547002734",
"Ecuador","ECU","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.4","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3",
"Egypt, Arab Rep.","EGY","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1",
"Euro area","EMU","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.129716555464286","0.129908838417083","0.18265816704392","0.186250084752373","0.186536001122484","0.190111831277283","0.190333877104137","0.190530166094363","0.213846896893245","0.214385803765764","0.232873132502989","0.233483469820384","0.237694146496625","0.238581007635082","0.264016671005349","0.264454945902136","0.26484301435217","0.26532105072028","0.266265201391746","0.266683853631065","0.268621532906478","0.269475051960916","0.293082484583253","0.293045417856045","0.274530107320188","0.299473292484977","0.300262900462678",
"Eritrea","ERI","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.5","0.7","0.9","1.1","1.3","1.4","1.6","1.6","1.7","1.6","1.6","1.5","1.4","1.3","1.2","1.1","1","0.9","0.9","0.8","0.8","0.7","0.7","0.7","0.6","0.6","0.6",
"Spain","ESP","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4",
"Estonia","EST","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.3","0.4","0.5","0.5","0.5","0.5","0.5","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.6","0.7",
"Ethiopia","ETH","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","1.8","2.2","2.6","2.9","3.2","3.4","3.6","3.6","3.6","3.5","3.4","3.2","2.9","2.7","2.4","2.2","2","1.8","1.6","1.5","1.4","1.3","1.2","1.1","1.1","1","1",
"European Union","EUU","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.124936660407214","0.125120336317325","0.169456948268803","0.172446170366639","0.172648397862688","0.175638481350223","0.17582415259841","0.176017841652052","0.195649914089755","0.196159233165232","0.211765454158782","0.212515951121703","0.216352331096893","0.218671776148244","0.240364501752765","0.240895317538517","0.241391092631359","0.242035912432622","0.243062300437314","0.243519572316622","0.245215828147559","0.245824997267028","0.265871688476399","0.265772486507418","0.249966393834235","0.269620774355898","0.270308220396398",
"Finland","FIN","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.5","0.5","0.5","0.5","0.5",
"Faroe Islands","FRO","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.8","1","1.3","1.6","1.9","2.2","2.5","2.8","3.1","3.3","3.5","3.7","3.8","3.8","3.9","4","4","4.1","4.1","4.1","4.2","4.2","4.2","4.2","4.2","4.3","4.3",
"United Kingdom","GBR","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Georgia","GEO","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.4","0.4","0.4",
"Ghana","GHA","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","1.1","1.3","1.5","1.7","1.9","2.1","2.3","2.4","2.5","2.6","2.6","2.6","2.6","2.6","2.5","2.4","2.4","2.3","2.2","2.1","2","2","1.9","1.8","1.8","1.7","1.7",
"Gibraltar","GIB","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.8","1","1.1","1.3","1.4","1.6","1.6","1.7","1.8","1.8","1.8","1.8","1.8","1.8","1.7","1.7","1.7","1.7","1.7","1.6","1.6","1.6","1.6","1.6","1.6","1.6","1.5",
"Gambia, The","GMB","Prevalence of HIV, total (% of population ages 15-49)","SH.DYN.AIDS.ZS","0.1","0.1","0.2","0.3","0.4","0.5","0.7","0.9","1.1","1.3","1.5","1.7","1.9","2","2.1","2.2","2.2","2.2","2.2","2.1","2.1","2","2","1.9","1.9","1.8","1.7",
